id_paper,edition_id
45921803,
18495988,2016 4th International Conference on Robotics and Mechatronics (ICROM)
30981004,
233227270,2021 IEEE Conference of Russian Young Researchers in Electrical and Electronic Engineering (ElConRus)
61829027,"2003 IEEE International Conference on Consumer Electronics, 2003. ICCE."
45352711,
246081813,2021 IEEE 15th International Conference on Electronic Measurement & Instruments (ICEMI)
286934,1990 Winter Simulation Conference Proceedings
111252001,30th Annual Frontiers in Education Conference. Building on A Century of Progress in Engineering Education. Conference Proceedings (IEEE Cat. No.00CH37135)
135855640,25th International Conference on Infrared and Millimeter Waves (Cat. No.00EX442)
274826730,2024 IEEE 20th International Conference on Intelligent Computer Communication and Processing (ICCP)
218565287,"2020 IEEE 15th International Conference on Advanced Trends in Radioelectronics, Telecommunications and Computer Engineering (TCSET)"
34974323,2017 IEEE Conference on Control Technology and Applications (CCTA)
245852459,Journal of Physics: Conference Series
11281260,
15143374,2006 1ST IEEE Conference on Industrial Electronics and Applications
20578947,2012 IEEE 75th Vehicular Technology Conference (VTC Spring)
22704506,2008 Conference on Precision Electromagnetic Measurements Digest
54465408,2018 21st International Conference on Intelligent Transportation Systems (ITSC)
248929685,ITM Web of Conferences
109071334,"IEEE International Electric Machines and Drives Conference, 2003. IEMDC'03."
29346974,2011 5th International Conference on Bioinformatics and Biomedical Engineering
246533549,2021 Asia-Pacific Signal and Information Processing Association Annual Summit and Conference (APSIPA ASC)
264327655,EPJ Web of Conferences
45445531,Proceedings 2001 ICRA. IEEE International Conference on Robotics and Automation (Cat. No.01CH37164)
21130308,2016 IEEE International Conference on Consumer Electronics (ICCE)
8613414,2013 Fifth International Conference on Communication Systems and Networks (COMSNETS)
245740059,IOP Conference Series: Earth and Environmental Science
67865972,2018 IEEE Global Communications Conference (GLOBECOM)
12648090,2015 IEEE International Conference on Advanced Intelligent Mechatronics (AIM)
16713865,2008 Panhellenic Conference on Informatics
