volume,year
29,2020
4,2006
10,1983
10,1992
10,2001
Pt,2022
10,2010
10,2019
202,2006
234,2013
130,2003
958,2023
78,2022
45,2007
6,2014
128,2019
4,1983
28,1996
37,2013
4,2001
256,2020
23,2018
26,2019
229,2019
48,2004
64,1986
52,2016
183,1959
6,2000
4,1969
28,1982
6,2018
4,1987
28,2000
abs/2408.08848,2024
28,2009
Pt,1994
5,1972
28,2018
16,2022
5,1981
23,2004
23,2013
26,2014
48,1999
86,1970
42,1967
40,1980
21,2013
66,1976
6,1986
4,1955
6,1995
133,1994
3,2022
11,1979
6,2004
24,2006
4,1973
6,2013
448,2024
5,1976
57,1997
2-1,2015
173,1989
47,2006
1,2005
71,2014
53,2005
1,2014
35,2003
(,1994
78,2016
2,2010
6,1990
22,2011
4,1959
36,1949
154,2018
37,1989
24,2010
8,2002
24,2019
29,2018
28,1999
37,2016
23,1994
12,2020
175,2010
90,1983
7,2015
73,2019
64,1971
55,2012
1,2009
1,2018
25,2002
2,2005
3,2012
21,2021
Suppl,2012
8,2006
8,2015
305,2013
256,2018
76,2015
33,2017
7,2010
26,2008
140,2004
30,1979
64,1957
1,1995
1,2004
47,2014
1,2013
70,1978
1,2022
2,2000
6,1980
13,1999
102,2010
3,2016
8,1983
10,1953
8,2010
205,2015
2012,2012
Pt,1983
60,2006
12,2019
39,2006
7,2014
44,1981
1,1990
156,2006
1,1999
1,2008
96,2015
2,1995
3,2002
13,1994
63,1966
2,2013
15,2024
13,2021
104,1969
36,2019
57,1968
12,1996
26,1980
12,2005
30,1960
140,1994
7,2000
109,2016
12,2023
78,1951
21,1970
1,1994
1166,2021
3,1970
350,2015
6,1952
2,1972
83,2012
20,2011
2,1999
19,2022
104,1946
13,2016
8,2000
9,2019
12175,2020
268,1995
73,1999
1772,2007
1,1980
1,1989
19,1990
3,1983
85,2016
3,1992
20,2006
5086,2021
2,1994
1),1994
8,1968
2,2003
301,2002
11,2016
301,2011
13,2011
15,2023
9,2005
9,2014
46,2010
5,2013
73,1976
328,2005
1,1975
19,1967
2,1953
2,1971
38,2004
15,2000
11,2011
11,2020
4,1996
36,1986
4,2014
36,2004
12,1981
62,2013
23,2022
10,2018
84,1962
39,1986
83,1961
3,1955
34,2003
18,1997
4786,1987
15,1995
42,2021
11,2006
45,2024
4,1991
7,1971
10,2004
23,2017
17,2017
39,1981
5,2012
97,1983
143,1964
35,2012
172,1995
6,2017
54,2018
4,1995
95,2020
4,2004
12,1980
5,1989
10,2008
5,1998
26,2022
5,2007
507,2012
31,2002
41,1995
26,1887
78,2020
348,1995
15,1992
42,2002
6,2012
4,1981
16,2007
5,1966
60,1953
7,1952
10,1985
23,2007
5,2002
48,2011
93,2012
13,1959
146,1953
110,2002
40,2001
4,1976
4,1994
7,1956
5,1988
26,2021
57,2018
31,2010
31,2019
50,2012
122,2021
21,2020
691,2023
6,2002
6,2011
24,2022
54,2012
Pt,2005
abs/2407.04335,2024
64,1956
81,2024
3,1921
187,2024
44,2003
3608,1964
1,2012
35,1983
1,2021
45,1981
2015,2015
78,2014
3,2015
11,1981
6,2006
70,2022
29,2007
54,2007
27,2018
14,2018
16,2001
8,2018
abs/2311.16670,2023
150,2017
31,1991
125,2020
1,2007
3,2001
25,2009
11,1967
6,1983
2,2012
6,1992
22,2022
70,2017
16,1996
8,2013
75,1987
358,2006
Pt,1995
124,1993
80,2016
26,2006
49,1957
39,2018
64,1964
111,2002
30,2013
19,2012
3,2005
Suppl,2014
14,1999
82,2016
8,2017
222,2023
33,2010
33,2019
7,2012
1,1979
68,1961
44,2006
1,2006
3,1982
2,1993
656,2010
19,2025
3,2018
82,2002
Suppl,2009
13,2019
224,2022
spe,2021
235,1987
12,2012
12,2021
47,1966
7903,1975
33,2023
7,2016
1,1974
55,1995
210,2017
3,1968
83,2001
1,2010
3,1995
2,1988
94,1964
3,2004
2,2006
Suppl,1995
46,1986
2,2015
9,2008
13,2023
27,2007
27,2016
46,2022
17,2021
58,2010
12,2016
30,1971
39,2012
35,1949
121,2019
1,1987
73,2015
195,2022
165,2023
2,1983
3,1999
2,1992
100,2022
72,2023
2,2001
14,1993
13,2018
51,1974
7,1970
5,2011
12,2011
974,2017
283,2008
3,1976
21,1985
2,1978
2,1987
11,2018
43,2013
14,1988
8,1988
9,2016
12,1988
36,2020
5,2015
7,2001
19,1987
3,1980
10,1890
13,1972
8,1965
11,2013
4,1989
15,2020
4,2007
9,2011
16,2024
17,2006
32,1996
17,2015
33,1994
161,1996
5,2010
5,2019
32,2023
38,1965
219,1968
404,1971
239,1964
31,2023
18,1972
3,1966
68,2012
abs/2010.10590,2020
13,1967
40,2000
86,2017
11,1990
40,2018
42,2023
4,1984
4,1993
11,2017
89,2023
17,1992
4,2020
23,2010
7,1973
5,1996
48,1987
10,2015
17,2019
5,2014
10,2024
294,2022
105,2014
14,1964
15,2001
